round,timestamp,result
1,2025-11-01T13:25:44.541054,B
2,2025-11-01T13:25:45.541070,T
3,2025-11-01T13:25:46.541075,P
4,2025-11-01T13:25:47.541079,B
5,2025-11-01T13:25:48.541083,P
6,2025-11-01T13:25:49.541086,P
7,2025-11-01T13:25:50.541090,T
8,2025-11-01T13:25:51.541097,B
9,2025-11-01T13:25:52.541102,B
10,2025-11-01T13:25:53.541105,B
11,2025-11-01T13:25:54.541110,P
12,2025-11-01T13:25:55.541113,B
13,2025-11-01T13:25:56.541117,B
14,2025-11-01T13:25:57.541120,B
15,2025-11-01T13:25:58.541123,B
16,2025-11-01T13:25:59.541127,P
17,2025-11-01T13:26:00.541130,B
18,2025-11-01T13:26:01.541134,B
19,2025-11-01T13:26:02.541137,P
20,2025-11-01T13:26:03.541141,P
21,2025-11-01T13:26:04.541144,B
22,2025-11-01T13:26:05.541147,B
23,2025-11-01T13:26:06.541151,B
24,2025-11-01T13:26:07.541154,B
25,2025-11-01T13:26:08.541157,B
26,2025-11-01T13:26:09.541161,P
27,2025-11-01T13:26:10.541164,B
28,2025-11-01T13:26:11.541167,B
29,2025-11-01T13:26:12.541171,P
30,2025-11-01T13:26:13.541174,P
31,2025-11-01T13:26:14.541177,P
32,2025-11-01T13:26:15.541181,P
33,2025-11-01T13:26:16.541184,P
34,2025-11-01T13:26:17.541187,P
35,2025-11-01T13:26:18.541191,B
36,2025-11-01T13:26:19.541194,P
37,2025-11-01T13:26:20.541197,P
38,2025-11-01T13:26:21.541201,P
39,2025-11-01T13:26:22.541205,T
40,2025-11-01T13:26:23.541208,B
41,2025-11-01T13:26:24.541211,B
42,2025-11-01T13:26:25.541215,B
43,2025-11-01T13:26:26.541218,B
44,2025-11-01T13:26:27.541221,B
45,2025-11-01T13:26:28.541224,P
46,2025-11-01T13:26:29.541228,T
47,2025-11-01T13:26:30.541231,B
48,2025-11-01T13:26:31.541234,B
49,2025-11-01T13:26:32.541237,B
